0,17444,amplitude,frequency (Hz)
207,-208.972191497341,208.972191497341,261.6573033707865
208,-13.884074743821056,13.884074743821056,262.92134831460675
209,171.30788556215873,171.30788556215873,264.185393258427
210,295.21307787440475,295.21307787440475,265.44943820224717
211,148.04393786497195,148.04393786497195,266.7134831460674
212,-235.2842193755238,235.2842193755238,267.97752808988764
213,-209.94134772099247,209.94134772099247,269.2415730337079
214,-24.551433713545215,24.551433713545215,270.5056179775281
215,130.67650915858968,130.67650915858968,271.7696629213483
216,222.8255979573855,222.8255979573855,273.03370786516854
217,173.72119344591894,173.72119344591894,274.2977528089888
218,46.753486099055735,46.753486099055735,275.561797752809
219,-179.04800914579857,179.04800914579857,276.8258426966292
220,-299.26591299498165,299.26591299498165,278.08988764044943
221,-108.7134638324329,108.7134638324329,279.35393258426967
222,259.96590511220927,259.96590511220927,280.6179775280899
223,327.0062958719013,327.0062958719013,281.8820224719101
224,101.5505374091719,101.5505374091719,283.14606741573033
225,-108.05292177415544,108.05292177415544,284.41011235955057
226,-268.71484224855766,268.71484224855766,285.6741573033708
227,-95.45813725958672,95.45813725958672,286.938202247191
228,39.496067957582405,39.496067957582405,288.2022471910112
229,150.65232214919442,150.65232214919442,289.46629213483146
230,345.24995044919467,345.24995044919467,290.7303370786517
231,110.21526770454956,110.21526770454956,291.9943820224719
232,-111.84527481858834,111.84527481858834,293.2584269662921
233,-338.1024079223204,338.1024079223204,294.52247191011236
234,-376.65611245106606,376.65611245106606,295.7865168539326
235,-89.2133792717521,89.2133792717521,297.05056179775283
236,208.88078331661146,208.88078331661146,298.314606741573
237,554.7423522286657,554.7423522286657,299.57865168539325
238,503.7487601112178,503.7487601112178,300.8426966292135
239,286.2805347348599,286.2805347348599,302.10674157303373
240,-178.1539008729472,178.1539008729472,303.3707865168539
241,-375.91466065263654,375.91466065263654,304.63483146067415
242,-349.3394822794118,349.3394822794118,305.8988764044944
243,-391.4754802176025,391.4754802176025,307.1629213483146
244,60.902935423322695,60.902935423322695,308.4269662921348
245,109.06019285280277,109.06019285280277,309.69101123595505
